TAZ,yosh,in_jerusalem_metropolin,jerusalem_city,sector,hh_total,pop,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75up,emp_tot,indus,com_hotel,business,public,education,agri,student,univ,UO_Hi_Ed,pop_emp_employed
8832,1,0,0,Jewish,2143,7996,545,713,896,694,579,339,372,445,640,712,505,371,373,388,271,153,1346.355286,0,521.8205,417.4564,104.3641,302.7142857,0,2112,0,14,3708.0701
8942,0,0,0,Palestinian,0,20574.11531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8815,1,0,0,U_Orthodox,1102,4738.6,981.9030743,713.4856451,519.6286129,324.6244977,430.1561365,418.6853062,302.8299201,200.7395304,149.120794,141.0912128,104.3845558,121.5908013,143.3853788,87.17831034,53.91290244,45.88332123,504.9514064,103.037,41.2148,30.9111,30.9111,298.8774064,0,2036.141845,0,457.0839107,1068.608786
8813,1,0,0,Jewish,735,3309,478,579,454,204,179,166,229,272,212,145,107,73,66,69,52,24,587.7660797,0,143.178,143.178,71.589,229.8210797,0,1608.747558,0,0,1223.138
8812,1,0,0,Jewish,1312,5659,785,885,809,465,337,304,301,421,378,340,231,133,83,80,54,53,1026.89968,0,255.5776,255.5776,127.7888,387.9556795,0,2715.689757,0,0,2123.5473
8811,1,0,0,Jewish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6010.285714,4800,0,1200,0,10.28571429,0,72,0,0,0
8923,0,0,0,Palestinian,0,8957.683315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8745,0,0,0,Palestinian,0,5510.715965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8723,0,1,0,Palestinian,0,8137.567786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8921,0,1,0,Palestinian,0,3957.296797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8724,0,1,0,Palestinian,0,18893.69112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8743,0,0,0,Palestinian,0,6903.624102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744,0,0,0,Palestinian,0,8294.373116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8694,1,0,0,Jewish,1338.25,5353,440,540,564,454,422,308,231,353,396,415,336,269,233,185,127,80,847.2991786,0,260.6911,260.6911,130.34555,195.5714286,0,1369,0,0,2483.5258
8831,1,0,0,Jewish,2969.333333,12489,1315,1457,1352,911,905,746,723,894,808,657,565,489,447,420,422,378,2197.390571,0,569.9848,569.9848,284.9924,772.4285714,0,4392,1500,0,5273.0762
8941,0,0,0,Palestinian,0,13107.04428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8833,1,0,0,Jewish,918,3829,477,613,437,244,203,158,207,356,331,241,152,140,102,73,66,29,672.2316872,0,178.8264,178.8264,89.4132,225.1656872,0,1576.15981,0,0,1609.9391
8957,0,0,0,Palestinian,0,18776.88451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8914,0,0,0,Palestinian,0,3197.067857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8976,0,0,0,Palestinian,0,23912.38087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8975,0,0,0,Palestinian,0,8126.547539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
