TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt,schoolage,pensioner,Students,hh/pop
1921,3005.7,2029.1,8854.8,1076.6,1299.2,983.5,1367.5,3159.4,968.7,5673.9,1189.4,489.9,1531.4,3210.6,12.6,19,2,1634.82,240,105.04,0.229153171
1922,2621.6,1930.7,7723.1,939,1133.1,857.8,1192.7,2755.6,844.9,4094.6,412.8,170,531.5,1114.2,12.4,19,2,1429.41,300,131.29,0.249995317
1923,4031.3,2434.2,9549.4,1024.6,1246.2,955.6,1454.1,3566.4,1302.5,5829,810.5,544.1,1171.3,2526,10.4,19,2,2540,380,230.62,0.254902532
1924,13195.2,9753,31257.2,3353.7,4079.2,3127.8,4759.5,11673.5,4263.5,18928.9,1710.6,1148.4,2472.1,5331.5,10.2,19,2,2780,480,256.01,0.312023945
1925,4719.6,3049.1,11179.9,1199.5,1459,1118.7,1702.4,4175.3,1524.9,6853.2,560.8,376.5,810.4,1747.9,10.2,19,2,2040,740,234.12,0.272726933
1926,2952.6,1719.5,6994.3,750.4,912.8,699.9,1065,2612.1,954,4286.5,2147.9,922.5,1924.5,4994.9,10.3,19,2,1940,460,192.08,0.245843465
1927,2580.2,1657.5,6112,655.8,797.6,611.6,930.7,2282.6,833.7,3716.9,1862.6,800,1668.9,4331.5,10.3,19,2,1530,480,167.85,0.271186087
1928,991.7,734.1,2349.1,252,306.6,235.1,357.7,877.3,320.4,1408.8,1326.6,569.8,1188.7,3085.1,10.2,19,2,660,180,64.51,0.312502262
1929,2710.3,1771.1,6420.3,688.9,837.9,642.4,977.6,2397.8,875.7,3976.7,811.9,348.7,727.5,1888.1,10.2,19,2,1820,350,176.32,0.275862583
1930,2319.9,1570.1,5495.5,589.6,717.2,549.9,836.8,2052.4,749.6,3407.2,670.2,623.1,817.1,2110.2,10.2,19,2,1350,480,150.92,0.285713733
1931,3455.2,2046.2,8184.8,878.2,1068.1,819,1246.3,3056.7,1116.4,4866,187.5,174.4,228.6,590.5,10.2,19,2,2620,370,224.78,0.25
1932,1509.1,527.7,3574.8,383.5,466.5,357.7,544.3,1335.1,487.6,2043.4,320.6,298.1,390.9,1009.5,10.2,19,2,700,160,64.81,0.147618426
1933,3583.3,2382.3,9162.1,1124.4,1332.2,977.9,1410.4,3296.5,1020.7,5546,623.8,435.8,848.2,1907.8,10.2,19,2,1760.87,276.4,187.27,0.260014368
1934,3406.5,2019.9,8710.3,1068.9,1266.5,929.7,1340.8,3134,970.3,5272.3,620.5,433.5,843.7,1897.7,10.2,19,2,2430,381.43,258.43,0.231892244
1935,2004.8,1113.2,5121.1,701.6,803.8,555.1,809.7,1736.7,514.2,2492.9,193.3,243.1,514.6,951,10.3,19,2,1740.33,184,128.42,0.217377847
1936,1729.7,997.7,4418.6,605.4,693.5,479,698.6,1498.5,443.6,2410,139.6,175.5,371.5,686.6,10.5,19,2,1172.83,124,86.54,0.225785673
1937,377.2,134.7,912.6,170.5,186,116.2,100.3,239.4,100.2,520,80.3,41.6,94.3,216.2,11.8,19,2,290,20,47,0.147618426
1938,4406.9,2656.4,12188.3,1704.7,1969.6,1382.1,1998.1,3971,1162.8,7669.1,769,398.3,903.8,2071,10.7,19,2,3030,280,258,0.217948315
2001,0,0,0,0,0,0,0,0,0,0,4777.1,0,0,4777.1,10.5,20,2,0,0,0,0
2002,3100.9,3096.5,7439.5,879.5,1018,716.6,846.4,2365.7,1613.2,4320.4,389.5,558.9,2396.9,3345.3,10.5,20,2,1110,1010,163.43,0.416228829
2003,1662.4,1929.9,3988.4,471.5,545.7,384.2,453.8,1268.3,864.9,2042,227,325.8,1397.1,1949.9,10.4,20,2,520,910,91.58,0.483871383
2004,3769.3,3554.4,9043,1069.1,1237.4,871.1,1028.9,2875.6,1960.9,5757.3,668.1,45.1,232.2,945.3,10.5,20,2,870,830,141.93,0.393056017
2005,3762.3,3343,9026.1,1067.1,1235.1,869.4,1027,2870.2,1957.3,5795.9,2075.2,296.6,852.5,3224.3,10.4,20,2,580,400,78.33,0.37037218
2006,0,0,0,0,0,0,0,0,0,0,4201.8,0,0,4201.8,10.4,20,2,0,0,0,0
2007,2688,2596.9,6448.8,762.4,882.4,621.2,733.7,2050.7,1398.4,3960.2,1045.4,70.5,363.3,1479.2,10.8,20,2,950,1040,161.96,0.402687273
2008,1411.7,1302.6,3386.8,400.4,463.4,326.2,385.3,1077,734.4,1981.1,218.1,30.8,210.3,459.2,10.4,20,2,450,560,76.27,0.3846139
2009,2560.5,2288.5,6142.8,726.2,840.5,591.7,698.9,1953.4,1332,3873.5,1231.5,83.1,427.9,1742.5,10.7,20,2,900,780,141.05,0.372549061
2010,21.4,20,51.3,6.1,7,4.9,5.8,16.3,11.1,0,2960.9,418.5,2854.2,6233.4,10.3,20,2,20,0,1.18,0.389248325
2011,2829.1,2715.7,6787.4,802.4,928.7,653.8,772.3,2158.4,1471.8,3985.1,918.7,62,319.2,1299.9,10.3,20,2,710,1120,139.87,0.400111579
2012,3445.2,2670.3,8265.3,977.2,1131,796.2,940.4,2628.3,1792.3,4675.2,721.2,103.1,296.3,1120.6,11.9,20,2,1010,680,191.4,0.323076923
2013,0,0,0,0,0,0,0,0,0,0,153.3,10.3,53.3,217,11.6,20,2,0,0,0,0
2101,4271.7,2227.1,9420.3,1759.7,1919.5,1199.5,1035.7,2471.2,1034.8,5673.5,855.1,153.2,1936,2944.3,11.8,21,2,2520,180,270,0.236410377
2102,3778.4,2746.8,11628.3,2052.5,2149.8,1220.9,1311.4,3430.3,1463.4,7134.2,370.1,599.9,1093.5,2063.5,11.5,21,2,2760,280,122,0.236216409
2103,7189.6,3427.9,10817.4,1909.4,1999.9,1135.8,1220,3191.1,1361.3,7635.7,810.7,243,1481,2534.6,11.4,21,2,740,300,224,0.316882353
2104,0,0,0,0,0,0,0,0,0,0,2998.8,1043.5,4207.8,8250,11.4,21,2,0,0,0,0
2105,3311.2,3150.1,9046.3,1338.3,1505.8,1004.1,1080.5,2653.5,1464.1,5288.8,2220.8,719.8,2443.7,5384.3,11.1,21,2,1570,1230,159.81,0.348215172
2106,2369.8,1883.9,6474.3,957.8,1077.7,718.6,773.3,1899.1,1047.8,3876.4,1077.5,374.9,1511.9,2964.3,11,21,2,1270,270,104.26,0.290978858
2107,3783.3,2704.2,8023.7,1416.3,1483.4,842.4,904.9,2366.9,1009.7,4672.5,542.1,478.2,1974.2,2994.5,10.8,21,2,740,290,39,0.337022222
2108,1382.2,1221.7,3776.3,558.7,628.6,419.1,451.1,1107.7,611.2,2156.8,842.8,273.2,927.4,2043.3,10.7,21,2,670,580,70.32,0.323529781
2109,2422.2,2008.8,6617.3,979,1101.5,734.5,790.4,1941,1071,4212.9,1443.4,467.8,1588.3,3499.6,11.3,21,2,1320,500,123.22,0.303570662
2110,1737.5,1424.1,4747,702.3,790.1,526.9,567,1392.4,768.3,2570.2,917.9,297.5,1010,2225.3,11.1,21,2,1250,530,88.39,0.3
2111,0,2.8,9,1.3,1.5,1,1.1,2.6,1.5,1.2,880.6,285.4,969,2135,11.2,21,2,0,0,0,0.306339439
2112,6524.8,5275.4,12231.2,2158.9,2261.3,1284.2,1379.4,3608.1,1539.2,6802.2,2939,856.6,4100,7895.6,11.5,21,2,1380,820,0,0.431307116
2201,1630.7,1125,3126.6,551.9,578.1,328.3,352.6,922.3,393.5,1887,548.7,162.9,932.1,1643.8,11.7,22,1,640,200,0,0.359822222
