TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt
421,3266,1525.9,6797.1,646,810.1,651.2,1037.2,2683.7,969,4229.4,144.1,137.9,405.8,687.8,11.6,4,1
422,3346.9,1868.9,6966.2,662,830.2,667.4,1063,2750.4,993.1,4334.2,209.9,242.1,390.5,842.5,11.8,4,1
423,3374,1755.5,7022.6,667.4,836.9,672.8,1071.6,2772.7,1001.1,4369.2,557.8,458.7,872.5,1889.1,11.5,4,1
501,1571.9,1345.3,4035.8,464.4,514.2,331.9,469.6,1265.6,990,2499.7,20.5,14,63.8,98.3,11.4,5,1
502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,5,1
503,2760.6,2430.1,7087.9,815.6,903.1,582.8,824.8,2222.8,1738.8,4050.3,594,164.2,719,1477.2,11.1,5,1
504,1475.9,1291.9,3789.5,436.1,482.9,311.6,440.9,1188.4,929.6,2330.7,44.6,55.4,448.2,548.3,11,5,1
505,1797.5,1582.3,4615.1,531.1,588.1,379.5,537,1447.3,1132.1,2645.9,184,211.2,142.5,537.5,10.8,5,1
506,905.1,774.6,2323.8,267.4,296.1,191.1,270.4,728.7,570.1,1408.8,27.2,41.6,144.9,213.7,10.7,5,1
507,773.3,661.8,1985.4,228.5,253,163.3,231,622.6,487,1186.4,64.6,15.3,275,355,11.3,5,1
508,764.5,692.8,1962.8,225.9,250.1,161.4,228.4,615.5,481.5,1175.8,0,16.1,281.1,297.3,11.1,5,1
509,993,1176.7,2549.4,293.4,324.8,209.6,296.7,799.5,625.4,1175.8,28.7,0,255.8,284.4,11.2,5,1
510,1441.1,1432.3,3700,425.8,471.5,304.2,430.5,1160.3,907.7,2139.7,52.5,174.1,1207.4,1434,11.5,5,1
511,1445.5,1443.3,3711.3,427.1,472.9,305.2,431.9,1163.9,910.4,2224.4,11.9,9.9,199.3,221.2,11.7,5,1
512,1252.2,1178.8,3215,370,409.7,264.4,374.1,1008.2,788.7,1949,19.2,23.9,117.9,160.9,12,5,1
513,2139.7,2018.1,5493.6,632.2,700,451.7,639.2,1722.8,1347.7,3336.6,95.2,186.5,415.9,697.6,11.5,5,1
514,494.4,488.3,1269.5,146.1,161.8,104.4,147.7,398.1,311.4,765,19.5,22.4,15.1,57.1,11.3,5,1
