TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt
1747,637.7,501.6,1121.2,141.8,157.3,101.9,135.3,322.1,262.7,574,161.2,101,478.8,740.9,10.7,17,1
1748,637.7,501.6,1121.2,141.8,157.3,101.9,135.3,322.1,262.7,574,34.1,21.4,101.2,156.6,10.4,17,1
1749,637.7,501.6,1121.2,141.8,157.3,101.9,135.3,322.1,262.7,574,44.4,27.8,131.9,204.2,11.9,17,1
1750,698.6,438.7,1228.3,155.4,172.4,111.6,148.2,352.8,287.8,808.6,49.8,31.2,147.8,228.8,12.1,17,1
1751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,17,1
1801,0,0,0,0,0,0,0,0,0,0,1837,1898.9,4429.1,8164.3,10.9,18,1
1802,1037.2,2079,5301.5,646.4,731.1,492.5,698.2,1676.7,1056.6,3327.8,116.7,120.6,281.3,518.5,11.4,18,1
1803,985.9,892.5,1976.2,241,272.5,183.6,260.3,625,393.9,1108.8,568.2,1265.2,2452.1,4285.3,11.5,18,1
1804,1646.7,1959.8,3300.7,402.5,455.2,306.6,434.7,1043.9,657.9,2131.8,28.9,15.1,274.5,318.5,11.1,18,1
1805,4567.9,3752.4,9155.9,1116.4,1262.6,850.5,1205.8,2895.7,1824.9,5932.9,159.6,223.8,813.8,1197.2,11,18,1
1806,1662.8,937.4,3332.8,406.4,459.6,309.6,438.9,1054.1,664.3,2255.4,31.2,39.7,492,562.8,11.7,18,1
1807,2226.2,1414.9,4462.3,544.1,615.3,414.5,587.7,1411.3,889.4,2560.7,51.2,23.2,169.2,243.6,11.4,18,1
1808,1037.2,2079,5301.5,646.4,731.1,492.5,698.2,1676.7,1056.6,3327.8,142.6,56.7,541.3,740.7,14.4,18,1
1809,0,0,0,0,0,0,0,0,0,0,978,497.1,1067.4,2542.5,12.5,18,1
1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,18,1
1811,0,0,0,0,0,0,0,0,0,0,87.6,57.5,104,249,10.6,18,1
1812,0,0,0,0,0,0,0,0,0,0,632.9,415.7,751.7,1800,10.6,18,1
1813,0,0,0,0,0,0,0,0,0,0,973.7,639.6,1156.5,2769.2,10.5,18,1
1814,0,0,0,0,0,0,0,0,0,0,632.9,415.7,751.7,1800,10.4,18,1
1815,1153.6,2312.3,5896.5,719,813.1,547.7,776.5,1864.9,1175.2,3701.3,417.3,668,1291.4,2376.7,10.4,18,1
1816,1829.5,1656.1,3667.1,447.1,505.7,340.7,482.9,1159.8,730.9,2057.6,396.1,881.9,1709.3,2987.2,10.4,18,1
1817,2201.7,1348.4,4413,538.1,608.5,409.9,581.2,1395.7,879.6,2823.5,20.5,26.1,323.4,369.9,10.3,18,1
1901,2929.6,1651.4,6788.7,819.7,968.3,707,1046.1,2381.6,865.9,4175.6,233.3,209.4,636.1,1078.7,10.3,19,2
1902,3558.2,1984.4,10337.1,1992.9,2138.5,1287.6,1142.5,2604.3,1171.3,6222.3,184.1,192.8,691,1068,11.9,19,2
1903,2324.9,1147.5,5410,671.8,793.7,579.6,823.7,1872.7,668.4,3312.8,624.7,238.8,579.3,1442.7,11.3,19,2
1904,4133.4,2378.8,10942.3,1352.5,1604.2,1179.7,1764.6,3678.3,1362.9,6648.2,503.5,303.7,1063.4,1870.7,11,19,2
1905,3165.2,1775.9,8288.8,929.8,1160.7,926.8,1289.7,2990.8,991,5110.2,786.3,183,643.6,1612.9,10.9,19,2
1906,3501,2213.4,9148.1,973.9,1219,977.1,1418.8,3383.2,1176,5862.5,530.2,218.4,682.7,1431.3,10.3,19,2
1907,3922.8,2911.8,10838.4,1426.4,1641.4,1143.2,1738.8,3647,1241.6,6671.1,949.5,151,529.2,1629.7,11.4,19,2
1908,1766.7,1012.5,3712.3,342.2,434.5,355.7,567.7,1434.8,577.5,2241.8,217.4,146,314.2,677.7,11.5,19,2
1909,4823.6,2917.9,10135.8,934.3,1186.3,971.1,1550.1,3917.4,1576.7,6260.1,4220.6,1812.7,3781.6,9814.9,11.2,19,2
1910,1649,787.5,3465.1,319.4,405.5,332,529.9,1339.2,539,2031.6,37,34.4,45.1,116.5,10.8,19,2
1911,2059,1112,4670,502.5,616.2,478.6,722,1741.1,609.7,2826.9,203.2,141.9,276.2,621.3,11.1,19,2
1912,3328.3,1753.8,7541.8,919.3,1082.2,785.4,1197.4,2655.9,901.7,4299,258.4,324.9,687.7,1270.9,12,19,2
1913,2535.8,1289.9,5876.4,709.6,838.2,612,905.5,2061.6,749.6,2983,207,185.8,564.4,957.2,12.4,19,2
