Year,Scenario,TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt,schoolage,pensioner,Students
2017,2017,1502,0,0,0,0,0,0,0,0,0,0,2502.4,24.6,4765.3,7292.3,19.2,15,1,0,0,0
2017,2017,1503,0,0,0,0,0,0,0,0,0,0,467,6.3,796.9,1270.2,17.2,15,1,0,0,0
2017,2017,1504,566.79,550.67,1416,128,128,80,204,512,360,827.32,412.4,13.6,1138.8,1564.8,17.9,15,1,188,360,53.25
2017,2017,1505,1235.06,1452,3085.5,365.5,280.5,178.5,484.5,1105,680,1831.65,55.6,31.2,248.7,335.5,15.1,15,1,442,680,116.03
2017,2017,1506,1364.95,1385.31,3410,350,270,190,490,1160,970,1895.14,355.5,8.3,944.4,1308.2,17.5,15,1,430,970,128.23
2017,2017,1507,850.19,826,2124,192,192,120,306,768,540,1210.2,165.8,5.8,420.3,591.9,15.1,15,1,252,540,79.87
2017,2017,1508,217.95,256.24,544.5,64.5,49.5,31.5,85.5,195,120,316.88,27.4,11.2,277.3,315.9,21.7,15,1,73.73,120,20.48
2017,2017,1509,1497.04,1279.47,3740,510,430,260,640,1340,540,2366.52,58.2,2.1,211.4,271.7,21.2,15,1,650,540,140.64
2017,2017,1510,772.54,772,1930,270,210,160,340,670,280,1250.6,87.3,13.2,58.7,159.2,18.6,15,1,340,280,72.58
2017,2017,1511,1597.11,1710,3990,440,350,230,570,1490,910,2376.14,54.4,22.9,258.3,335.6,20.5,15,1,550,910,150.04
2017,2017,1512,1493.03,1585.25,3730,360,340,220,530,1410,900,2241.46,72.7,3.5,270.2,346.4,27.7,15,1,490,900,140.26
2017,2017,1513,1929.34,2268.24,4820,460,450,300,700,1840,1070,2953.34,54.4,84,376.4,514.8,27.3,15,1,670,1070,181.25
2017,2017,1514,1605.11,1814.05,4010,360,450,280,560,1530,830,2491.58,112.75,6.9,294.3,413.9,24.8,15,1,620,830,150.79
2017,2017,1515,0,0,0,0,0,0,0,0,0,0,1134.7,191.1,431.1,1756.9,23.6,15,1,0,0,0
2017,2017,1516,0,0,0,0,0,0,0,0,0,0,171.6,44.3,946.8,1162.7,22.1,15,1,0,0,0
2017,2017,1517,0,0,0,0,0,0,0,0,0,0,6613.6,40.6,1530.2,8184.4,21,15,1,0,0,0
2017,2017,1518,0,0,0,0,0,0,0,0,0,0,75.9,1055.2,12.9,1144,27.8,15,1,0,0,0
2017,2017,1519,0,0,0,0,0,0,0,0,0,0,694.9,137.8,502.5,1335.2,18.8,15,1,0,0,0
2017,2017,1520,140.1,0,350,30,20,10,30,150,110,0,0,0,331.5,331.5,21.2,15,1,40,110,13.16
