"Scenario","year","supertaz","hh_total","pop","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75up","emp_tot","indus","com_hotel","business","public","education","agri","student","univ","UO_Hi_Ed","pop_emp_employed"
"BAU",2025,22,30485.2430,601594.3996,14266.7019,13970.9898,14289.1206,12824.9554,11025.9615,9792.2811,6765.0222,7268.4893,7076.1403,6212.4036,5310.6133,4022.6147,3333.4071,3326.4467,2708.0127,3638.6856,29928.5896,6505.7821,5215.5339,5635.6970,2155.9603,10415.6162,0.0000,50679.6881,17400.1764,2245.6194,48221.2740
"BAU",2025,23,919.3366,443138.6675,611.6339,646.6393,659.1128,420.4109,265.5154,274.8419,252.5086,305.1304,246.6814,177.0938,124.2718,84.0457,64.5182,53.6252,35.5905,22.1637,742.3218,206.2344,110.3420,75.9696,55.1710,294.6049,0.0000,2062.2344,0.0000,0.0000,1485.0719
"BAU",2025,3,23704.0063,105896.1071,12609.9032,11731.2221,11419.8189,10586.2745,10664.9385,9541.7837,7895.0666,6020.1904,5187.5498,5017.1626,4486.8598,3262.5205,2833.8896,1954.3199,1042.1237,1642.4832,17165.6834,323.1006,5969.5944,2396.2866,2166.8048,6309.8970,0.0000,44169.2793,0.0000,0.0000,24933.7270
"BAU",2025,4,54776.4526,166665.2568,14774.0062,12933.3717,13958.7054,13903.4792,12209.7430,11707.2768,9546.7249,10210.4995,9777.7674,8382.0499,7917.1168,6413.3455,6400.9422,6300.6915,7017.1125,14060.9742,53098.6896,1674.5383,21315.6743,14717.1503,8519.8539,6871.4728,0.0000,42825.9089,6995.4702,3523.6473,67987.4073
"BAU",2025,5,43343.7178,127727.4149,12257.4714,10181.5624,10444.7595,14318.3815,12449.0831,9928.2075,7038.5778,6875.5267,6377.6163,5513.5255,5518.2581,4864.8600,4848.0811,4591.7267,4457.3553,8062.4221,44805.8508,0.0000,12593.3975,11873.5875,11266.7230,9027.1933,44.9495,39972.8937,19937.1479,10387.4931,49246.6122
"BAU",2025,6,48584.4778,189284.6255,30917.1129,24734.6846,19109.9973,26160.2552,19387.7076,13871.1616,11509.1617,7567.1036,6172.0569,4997.8965,4626.4763,4817.0886,4261.3320,4181.9484,2666.6684,4303.9740,60070.5864,1154.2189,11974.8979,25172.4202,5252.4753,16516.5740,0.0000,93630.8043,8543.3351,37214.1606,42392.3295
"BAU",2025,7,56367.0688,261119.1336,31569.8443,29079.7232,27357.7741,25440.0836,24547.7421,21483.1970,18269.4093,14418.9807,12929.5406,12108.2603,10324.2107,8678.5921,7757.2510,5667.0018,4655.1037,6832.4193,44340.8617,4036.8087,16109.4343,4899.7611,5687.1822,13234.2641,373.4115,88338.7803,3644.0766,3004.1321,69093.3681
"BAU",2025,8,8008.7063,27754.6096,2615.8830,2147.4600,2280.0657,2098.3547,1991.6489,2037.7350,1667.7369,1789.6805,1621.1013,1335.5950,1272.1114,1089.0959,1135.2188,1134.5090,1227.8814,2310.5322,5480.3331,0.0000,2480.0100,1233.0366,585.1301,1182.1564,0.0000,8202.5020,0.0000,209.7135,12001.5839
"BAU",2025,9,14355.8464,56253.0335,5780.7116,5744.3808,5918.6336,5893.5778,4773.5407,3666.0835,3170.8074,3246.3295,3509.5487,3188.1057,2816.5859,2011.1503,1711.9527,1624.5062,1247.5482,1949.5710,9173.0749,0.0000,3911.7110,1391.5984,914.6901,2955.0754,0.0000,20266.1009,0.0000,1477.2125,19663.0964
"BAU",2030,1,55661.8637,183319.3653,21886.6050,18887.7027,16261.0936,22809.0548,17426.7311,13390.1700,10813.1776,9176.4332,8028.5011,7433.5406,6490.9752,5764.5303,4995.8757,4896.6590,4590.0836,10468.2317,123830.2224,584.3422,43048.0631,37446.3863,24565.8571,18185.5736,0.0000,76203.8938,23081.5915,36830.4223,52428.4500
