"Scenario","year","ravtaz","hh_total","pop","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75up","emp_tot","indus","com_hotel","business","public","education","agri","student","univ","UO_Hi_Ed","pop_emp_employed"
"BAU",2035,86,5856.5742,23726.8153,2297.6746,2609.1343,2522.6065,2044.4123,1800.9222,1308.0269,1345.5698,1526.3803,1532.8287,1633.6940,1363.7672,930.1264,731.3241,607.6576,512.1243,960.5662,11450.0491,3467.1233,3494.7043,1841.0721,747.0090,1505.2912,394.8492,10469.6614,0.0000,367.3657,10160.9995
"BAU",2035,87,41994.0000,171966.9459,15064.7005,18127.6187,17915.4907,14886.7222,12790.4248,8997.8573,9109.1136,10713.1461,11688.6254,12351.8250,10681.7342,8214.2624,6781.0672,5649.5453,4039.4374,4955.3748,49806.9197,3478.1505,20761.4267,13113.3865,3732.2615,8571.9245,149.7701,60003.4713,0.0000,0.0000,76509.2426
"BAU",2035,88,27045.7783,149571.2763,27727.4413,22906.7397,18373.3980,17909.7112,14729.9592,10957.3344,8784.1328,6293.4581,4878.0628,4208.6201,3887.8639,3122.9678,2066.9405,1293.0817,983.1929,1448.3719,19715.7670,0.0000,4110.3798,1969.1053,1800.2684,11836.0135,0.0000,78944.2226,0.0000,23446.4478,32150.5784
"BAU",2035,89,3847.5123,18061.9860,2467.4495,2399.0641,2206.6328,1629.3238,1630.8236,1394.8816,1149.6014,1223.3920,911.4759,779.5406,612.1070,490.4069,408.3560,281.0626,208.0107,269.8575,3009.8292,0.0000,835.9754,663.0153,374.7477,1136.0908,0.0000,7930.1763,0.0000,56.1476,6834.4468
"BAU",2035,9,5994.1991,19429.6638,2030.1788,1677.5058,1523.2882,1504.5628,1704.6594,1639.7188,1267.2362,1034.5712,819.0540,851.5393,864.6077,813.8285,798.5430,666.0177,624.9342,1609.4182,5012.3532,0.0000,2646.4762,748.2272,566.6760,1050.9738,0.0000,3356.1083,1241.6648,1720.2309,7845.0306
"BAU",2035,90,776.7195,251241.9648,276.4049,305.4735,302.5276,337.8447,261.7721,180.9651,172.1344,206.4309,210.7034,232.6299,200.4417,135.2931,95.3383,81.5836,70.6947,150.9162,537.7187,0.0000,148.8050,111.6037,111.6037,165.7063,0.0000,1081.3376,0.0000,73.7940,1416.8097
"BAU",2035,91,39898.2305,177539.9106,22445.5602,20399.4304,18047.0918,16214.2509,18331.3631,14908.0935,10409.3688,9855.8789,8212.7091,7887.1451,7030.2219,5773.9270,4698.6291,3648.6489,3065.4420,6612.1499,38854.2896,8219.7488,6488.7053,7081.2679,2727.5311,14337.0365,0.0000,71041.8976,22794.3670,4800.9557,65109.5608
"BAU",2035,92,0.0000,545132.5128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BAU",2035,93,2034.8035,9384.7428,1495.4782,1270.7412,1072.9661,848.6282,989.2004,889.7581,660.7735,579.6412,364.4635,274.4296,224.6729,213.9475,213.0375,120.0502,77.3452,89.6095,1587.1461,178.9710,357.9420,178.9710,178.9710,692.2910,0.0000,4284.5613,0.0000,1049.1578,3345.5248
"BAU",2035,94,0.0000,480257.3598,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BAU",2035,95,1127.5100,5230.4227,749.6321,749.9988,688.4753,473.1063,447.1012,386.6908,334.2953,377.6387,270.8608,222.1802,163.5832,122.0347,95.2946,62.1780,42.8144,44.5383,893.5216,237.9252,140.3306,100.6764,70.1653,344.4242,0.0000,2410.9695,0.0000,0.0000,1922.7830
"BAU",2035,96,0.0000,503985.4063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BAU",2035,97,2023.0894,8486.7085,730.8751,807.7387,799.9490,871.0923,683.6989,478.5113,455.1609,545.8484,557.1459,615.1243,530.0117,357.7444,252.0953,215.7249,186.9323,399.0553,1400.1736,0.0000,175.7723,137.7438,117.1815,416.4915,552.9843,2859.2930,0.0000,93.0446,3746.3544
"BAU",2035,98,0.0000,73115.5310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BAU",2035,99,0.0000,429199.7597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BAU",2040,1,6047.3095,20678.0429,2061.0676,1880.8234,1736.8253,1896.3272,1959.5326,1764.4965,1296.0049,1055.3290,961.8321,866.9516,940.7595,892.1893,743.4458,665.3728,526.5127,1430.5726,34637.9139,0.0000,12403.0253,10935.3015,9079.9995,2219.5875,0.0000,4666.5950,8186.2623,712.5730,8211.4502
"BAU",2040,10,7207.6786,28598.0852,4799.9527,3845.2599,3167.5570,3779.8987,2542.1718,1966.2442,1693.7823,1295.4230,949.4662,937.7433,693.7249,597.1890,454.8629,400.0206,438.0662,1036.7224,14240.1794,0.0000,6349.4520,3056.7089,1905.3427,2928.6758,0.0000,17337.3128,1702.9608,5427.2623,6135.6042
"BAU",2040,100,3228.4755,15160.1382,2299.5079,2018.3827,1681.1834,1362.6672,1328.1893,1444.1789,1241.8834,896.1632,680.9533,443.0193,397.8821,389.6167,372.1102,246.5002,152.2600,205.6404,2509.9499,0.0000,608.9788,363.1700,294.5227,1037.3366,205.9419,6595.4150,0.0000,1003.3989,5702.3821
