scenario,year,ID,AREA,TAZ_OLD,TAZ_1318_S,TAZ_1318_N,TYPE,CULTURALM,CULTURALL,UNIVERSITY,U_STUDENTS,COLLEGE,CSTUDENTS,YESHIVA,YSTUDENTS,EDUCATIONH,H_CLASS,H_STUDENTS,EDUCATIONE,E_CLASS,E_STUDENTS,OFFICE,MALL,MALL_AREA,STREET,STR_AREA,MARKET,MARKET_ARE,HEALTH,BEDS_HEALT,SOCECO,SECTOR,SECTOR_JEW,SECTOR_ARA,SECTOR_ORT,URBAN,POPULATION,HOUSEHOLDS,HH_JEW,HH_ARAB,HH_ORTO,EMPL_TOT,EMPL_COMM,EMPL_SERV,EMPL_INDU,EMPL_OFFIC,AGE_0_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_64,AGE_65_74,AGE_75,WOMEN,MEN,WORKERS,PARKCOST,PARKWALK,PARKCAP,SOLDIERS,ARMY,MLIC2,MLIC3,MLIC4,MLIC5,MLIC6,FLIC2,FLIC3,FLIC4,FLIC5,FLIC6,GE,GE_NAME,SEMEL,CITY_H,CITY_E,MUNICIPAL,nafa
BAU,2025,376,388000,1213,12131,1213,8,0,0,0,0,0,0,0,0,0,0,0,1,19,573,0,0,0,1,54324,0,0,0,0,8,1,1,0,0,1,2147,826,2.6,0,0,3018,1509,1509,0,0,502,160,147,211,802,149,176,1111,1036,1135,0,1,3004,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,373,269000,1214,12181,1214,4,0,0,0,0,0,0,0,0,1,45,1380,0,0,0,1,1,1286,0,0,0,0,1,85,8,1,1,0,0,1,252,252,1,0,0,9178,451,90,4318,4318,0,0,0,0,0,0,252,180,72,63,0,1,5417,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,377,986000,1215,12170,1215,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,1,0,0,1,276,102,2.7,0,0,4096,0,1841,413,1841,75,15,12,21,101,19,33,148,128,127,0,1,2780,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,680,274000,1216,12182,1216,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1448,1,200,0,0,0,0,0,1,0,0,0,0,0,8902,4452,1780,890,1780,0,0,0,0,0,0,0,0,0,0,0,1,6683,0,0,0,0,0,0,0,0,0,0,0,0,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,374,335000,1217,12132,1217,8,0,0,0,0,0,0,1,284,0,0,0,1,18,459,0,0,0,0,0,0,0,0,0,8,1,1,0,0,1,2147,826,2.6,0,0,3018,0,3018,0,0,502,160,147,211,802,149,176,1111,1036,1135,0,1,2684,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,759,154000,1218,12060,1218,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1334,0,0,0,0,8,1,1,0,0,1,2878,1028,2.8,0,0,666,43,623,0,0,655,137,173,328,1073,278,235,1501,1377,1527,0,1,1444,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,743,271000,1219,12070,1219,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,371,553000,1220,12050,1220,3,0,0,0,0,0,0,0,0,0,0,0,1,27,733,0,0,0,0,0,0,0,0,0,8,1,1,0,0,1,5892,2562,2.3,0,0,1098,0,1098,0,0,1332,553,334,625,2228,400,420,2912,2980,3125,0,1,3198,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,625,272000,1301,13010,1301,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1201,0,2,1199,0,0,0,0,0,0,0,0,0,0,0,0,1,546,0,0,0,0,0,0,0,0,0,0,0,0,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,630,227000,1302,13040,1302,3,0,0,0,0,0,0,0,0,0,0,0,1,17,337,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4640,2442,1.9,0,0,1486,0,1486,0,0,775,68,141,1246,1715,268,427,2388,2252,2947,0,1,3355,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,626,117000,1303,13030,1303,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,2250,1324,1.7,0,0,716,0,716,0,0,336,50,93,688,806,122,156,1150,1100,1429,0,1,1763,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,642,71500,1304,13060,1304,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,1865,1036,1.8,0,0,729,0,729,0,0,282,37,91,549,631,119,157,986,879,1230,0,1,1484,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,638,104000,1305,13070,1305,3,0,0,0,0,0,0,0,0,1,6,162,1,16,464,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,2268,1334,1.7,0,0,1499,0,1499,0,0,348,58,92,624,828,137,181,1141,1127,1440,0,1,2257,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,624,177000,1306,13020,1306,3,0,0,0,0,0,0,0,0,1,29,796,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,1,2642,1554,1.7,0,0,2200,0,2200,0,0,393,59,104,713,964,159,251,1352,1290,1677,0,1,2908,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
