"scenario","year","TZ28","pop","emp"
"tama407",2050,4,12520,4122
"tama408",2050,4,9483,2074
"tama409",2050,4,15529,3890
"tama410",2050,4,4362,1214
"tama411",2050,4,6656,860
"tama412",2050,4,9428,4559
"tama413",2050,4,0,7965
"tama414",2050,4,5697,1513
"tama415",2050,4,11739,2230
"tama416",2050,4,1268,3491
"tama417",2050,4,5234,1156
"tama418",2050,4,0,9216
"tama419",2050,4,9120,3192
"tama420",2050,4,8772,1941
"tama421",2050,4,3973,3450
"tama422",2050,4,9304,1584
"tama423",2050,4,5349,941
"tama424",2050,4,6782,1527
"tama425",2050,4,3507,314
"tama426",2050,4,5808,2235
"tama427",2050,4,0,25068
"tama428",2050,4,0,23058
"tama429",2050,4,4349,8808
"tama430",2050,4,1788,6696
"tama431",2050,4,6299,992
"tama432",2050,4,6043,1558
"tama433",2050,4,9061,3169
"tama434",2050,4,4342,3117
"tama435",2050,4,8623,2354
"tama436",2050,4,3618,1367
"tama437",2050,4,4196,1109
"tama438",2050,4,5087,693
"tama439",2050,4,3395,785
"tama440",2050,4,6756,4421
"tama441",2050,4,4599,935
"tama442",2050,4,5977,6388
"tama443",2050,4,4117,343
"tama444",2050,4,2377,547
"tama445",2050,4,8402,1953
"tama446",2050,4,6311,1235
"tama447",2050,4,7203,1103
"tama448",2050,4,7386,1757
"tama449",2050,4,4196,1155
"tama450",2050,4,10153,1312
"tama451",2050,7,3463,8176
"tama452",2050,4,6226,1015
"tama453",2050,4,11146,774
"tama454",2050,4,11643,2866
"tama455",2050,4,10970,1039
"tama456",2050,4,7826,762
"tama457",2050,4,8514,1174
"tama458",2050,4,3374,645
"tama459",2050,4,3537,927
"tama460",2050,4,5444,1087
"tama461",2050,4,9113,1074
"tama462",2050,7,7202,10149
"tama463",2050,7,880,774
"tama464",2050,7,1062,591
"tama465",2050,7,5588,2240
"tama466",2050,7,8921,2219
"tama467",2050,4,1459,1440
"tama468",2050,4,4117,1178
"tama469",2050,4,13650,2268
"tama470",2050,4,0,130
"tama471",2050,7,23488,12929
"tama472",2050,7,4143,15415
"tama473",2050,7,20015,9585
"tama474",2050,7,8578,3685
"tama475",2050,7,13605,6887
"tama476",2050,7,6257,719
"tama477",2050,7,7502,2748
"tama478",2050,7,5911,3359
"tama479",2050,7,5014,847
"tama480",2050,7,7352,5806
"tama481",2050,7,4563,1898
"tama482",2050,7,4955,600
"tama483",2050,7,2214,324
"tama484",2050,7,1833,1462
"tama485",2050,7,6393,1424
"tama486",2050,7,3953,1373
"tama487",2050,7,6465,2582
"tama488",2050,7,1762,773
"tama489",2050,7,2185,7452
"tama490",2050,7,1362,609
"tama491",2050,7,3330,515
"tama492",2050,7,3101,489
"tama493",2050,7,6076,2526
"tama494",2050,7,2838,584
"tama495",2050,7,5237,1261
"tama496",2050,7,8316,1442
"tama497",2050,7,3384,359
"tama498",2050,7,0,1172
"tama499",2050,7,0,1922
"tama500",2050,7,4262,1946
"tama501",2050,7,0,13277
"tama502",2050,7,9617,1305
"tama503",2050,7,0,6099
"tama504",2050,3,10191,12685
"tama505",2050,3,5012,2736
"tama506",2050,3,5761,1301
"tama507",2050,3,5933,918
"tama508",2050,3,435,205
"tama509",2050,3,0,414
"tama510",2050,3,7793,1385
"tama511",2050,3,0,6614
"tama512",2050,3,8620,1549
"tama513",2050,3,7138,622
"tama514",2050,3,6611,1043
"tama515",2050,3,5172,3122
"tama516",2050,3,3993,15262
"tama517",2050,3,3137,5318
"tama518",2050,3,3333,1302
"tama519",2050,3,4824,1612
"tama520",2050,3,4318,1379
"tama521",2050,3,2907,389
"tama522",2050,3,4940,2602
"tama523",2050,3,2668,1258
"tama524",2050,3,4813,1269
"tama525",2050,3,3640,2435
"tama526",2050,3,6390,1430
"tama527",2050,3,7496,1323
"tama528",2050,3,4220,1001
"tama529",2050,3,3363,732
"tama530",2050,3,3990,2076
"tama531",2050,3,5118,675
"tama532",2050,3,5882,3888
"tama533",2050,3,2790,1251
"tama534",2050,3,5813,1014
"tama535",2050,3,3103,411
"tama536",2050,3,3974,662
"tama537",2050,3,4325,709
"tama538",2050,3,3539,780
"tama539",2050,3,5782,2754
"tama540",2050,3,6499,1567
"tama541",2050,3,0,10922
"tama542",2050,3,0,3284
"tama543",2050,3,4004,381
"tama544",2050,3,4286,706
"tama545",2050,3,2348,279
"tama546",2050,3,2554,648
"tama547",2050,3,7071,2751
"tama548",2050,3,12899,509
"tama549",2050,3,645,1022
"tama550",2050,3,3978,423
"tama551",2050,3,5695,1320
"tama552",2050,3,7933,1899
"tama553",2050,3,4196,925
"tama554",2050,3,5017,423
"tama555",2050,3,5280,821
"tama556",2050,3,4378,731
"tama557",2050,3,12521,1607
"tama558",2050,3,3744,972
"tama559",2050,3,5363,487
"tama560",2050,3,5403,383
"tama561",2050,3,3203,1610
"tama562",2050,3,6440,2144
"tama563",2050,3,7338,758
"tama564",2050,3,480,333
"tama565",2050,3,0,6976
"tama566",2050,3,0,5999
"tama567",2050,6,0,18
"tama568",2050,3,8530,2839
"tama569",2050,3,4358,1544
"tama570",2050,3,1667,335
"tama571",2050,3,5428,1055
"tama572",2050,3,7151,1325
"tama573",2050,3,3642,315
"tama574",2050,3,5003,1412
"tama575",2050,3,11784,4052
"tama576",2050,3,5371,1885
