scenario,year,taz,pop,emp
conv,2050,5309,0,19936
conv,2050,5310,0,12598
conv,2050,5311,10143,13658
conv,2050,5313,6097,444
conv,2050,5314,5688,982
conv,2050,5315,9912,470
conv,2050,5316,7008,434
conv,2050,5317,4968,1035
conv,2050,5318,13724,2691
conv,2050,5319,7314,1792
conv,2050,5320,0,10353
conv,2050,5321,368,0
conv,2050,5323,7216,1812
conv,2050,5324,6707,391
conv,2050,5325,7900,982
conv,2050,5326,5297,954
conv,2050,5327,4201,569
conv,2050,5328,4924,1798
conv,2050,5329,5677,1010
conv,2050,5330,4389,338
conv,2050,5331,4424,917
conv,2050,5332,2153,271
conv,2050,5333,7209,2112
conv,2050,5334,9809,2534
conv,2050,5336,7652,1172
conv,2050,5337,5116,331
conv,2050,5338,9519,7174
conv,2050,5340,6477,299
conv,2050,5341,7562,1157
conv,2050,5342,4453,488
conv,2050,5343,4193,740
conv,2050,5344,4503,1137
conv,2050,5345,4971,1599
conv,2050,5346,4222,1227
conv,2050,5347,3219,459
conv,2050,5348,3980,9837
conv,2050,5349,4647,10338
conv,2050,5350,4171,2799
conv,2050,5351,3852,910
conv,2050,5352,2950,962
conv,2050,5353,5817,504
conv,2050,5354,6186,804
conv,2050,5355,7522,1094
conv,2050,5356,9984,1312
conv,2050,5357,5680,1498
conv,2050,5360,3057,599
conv,2050,5361,11438,2589
conv,2050,5362,5677,1167
conv,2050,5363,6971,835
conv,2050,5364,9843,1327
conv,2050,5365,4445,926
conv,2050,5366,4445,926
conv,2050,5367,2616,688
conv,2050,5368,4692,584
conv,2050,5370,0,7353
conv,2050,5371,0,236
conv,2050,5373,6532,1602
conv,2050,5374,0,24
conv,2050,5401,1616,7956
conv,2050,5402,5139,4204
conv,2050,5403,7881,2321
conv,2050,5404,21339,6572
conv,2050,5405,4467,6563
conv,2050,5406,13364,2919
conv,2050,5407,15731,4913
conv,2050,5501,3724,565
conv,2050,5502,596,88
conv,2050,5503,8709,648
conv,2050,5504,5678,3926
conv,2050,5505,9868,2071
conv,2050,5506,9898,2081
conv,2050,5507,7753,798
conv,2050,5508,4020,927
conv,2050,5509,4020,927
conv,2050,5510,3567,1050
conv,2050,5511,3567,1050
conv,2050,5512,5137,541
conv,2050,5513,3105,6362
conv,2050,5514,0,2634
conv,2050,5515,0,8958
conv,2050,5516,9144,1011
conv,2050,5517,1988,293
conv,2050,5601,0,29266
conv,2050,5602,4983,894
conv,2050,5603,0,3645
conv,2050,5604,369,1380
conv,2050,5605,3494,134
conv,2050,5608,9057,2337
conv,2050,5609,9279,2124
