taz,superzone,pop_conv,emp_conv,pop_trends,emp_trends,pop_focus,emp_focus,pop_tama70,emp_tama70
2025,הרצלייה,8013,9309,3374,5660,8013,9309,12416,11954
2026,הרצלייה,0,13344,0,7905,0,13344,0,17294
2027,הרצלייה,0,17816,0,12406,0,17816,0,25552
2028,הרצלייה,0,2642,0,2391,0,2642,0,3933
2029,הרצלייה,2992,777,2780,584,2992,777,3635,1041
2030,הרצלייה,4059,692,3851,498,4059,692,4902,876
2031,הרצלייה,5139,3782,4216,3432,5139,3782,7296,4622
2032,הרצלייה,2260,2439,1854,2215,2260,2439,2585,2341
2033,הרצלייה,5638,1583,5341,1210,5638,1583,6746,1963
2034,הרצלייה,4713,1056,4404,754,4713,1056,5715,1385
2035,הרצלייה,6176,2085,3905,1310,6176,2085,7489,2735
2036,הרצלייה,7730,2531,1772,564,7730,2531,7398,2709
2037,הרצלייה,4828,1931,4770,1494,4828,1931,6800,3245
2038,הרצלייה,5741,1302,5438,983,5741,1302,7191,2000
2039,הרצלייה,3822,923,3697,697,3822,923,4827,1421
2040,הרצלייה,3875,1342,3401,996,3875,1342,4848,2004
2041,הרצלייה,5121,1333,1702,963,5121,1333,5815,2127
2042,הרצלייה,4036,1220,2551,766,4036,1220,4104,1311
2043,הרצלייה,1769,2818,1118,1768,1769,2818,1309,2132
2044,הרצלייה,0,8583,0,5174,0,8583,0,8377
2045,הרצלייה,13448,4720,8500,2963,13448,4720,14879,6646
2046,הרצלייה,7551,5124,1923,1282,7551,5124,4975,4162
2047,רמת השרון,6664,2228,1843,607,6664,2228,7155,2613
2048,רמת השרון,4388,2648,1214,1197,4388,2648,6689,4174
2101,רמת השרון,121,2298,30,560,121,2298,150,1707
2102,רמת השרון,0,4246,0,1433,0,4246,0,4847
2103,רמת השרון,2438,1034,1894,658,2438,1034,3559,1535
2104,רמת השרון,3424,1504,2842,987,3424,1504,3088,1020
2105,רמת השרון,4260,2973,3768,1712,4260,2973,4162,2440
2106,רמת השרון,4572,1428,3996,942,4572,1428,6029,1935
2107,רמת השרון,16160,6270,3989,1516,16160,6270,12419,5141
2108,רמת השרון,15024,6058,4156,1648,15024,6058,22910,9552
2109,רמת השרון,4565,1531,4303,1287,4565,1531,5258,1726
2110,רמת השרון,4144,1688,3906,1432,4144,1688,4885,2073
2111,רמת השרון,3842,1535,3244,1009,3842,1535,3244,1009
2112,רמת השרון,1398,288,386,78,1398,288,2025,427
2113,רמת השרון,5854,1450,2566,558,5854,1450,7401,1820
2114,רמת השרון,1852,381,512,104,1852,381,1836,420
2115,רמת השרון,4748,1602,1286,424,4748,1602,8695,2752
2116,רמת השרון,4613,1495,1254,397,4613,1495,10561,3391
2117,רמת השרון,9345,3440,3450,923,9345,3440,15564,5554
2118,רמת השרון,0,1218,0,854,0,1218,0,1920
2119,רמת השרון,4063,1487,1124,405,4063,1487,6195,2345
2120,רמת השרון,5822,2915,5148,1978,5822,2915,8772,4534
2121,רמת השרון,3554,725,2628,389,3554,725,5419,1143
2122,רמת השרון,5604,1856,5028,1248,5604,1856,8545,2926
2123,רמת השרון,4475,633,3943,391,4475,633,6824,999
2125,רמת השרון,0,6498,0,1895,0,6498,0,10247
2126,רמת השרון,5077,1858,1405,507,5077,1858,7741,2931
2127,רמת השרון,1014,237,281,64,1014,237,1546,373
2201,בני ברק,10627,3181,14205,4219,10627,3181,10132,3965
2202,בני ברק,962,9768,1094,11263,962,9768,551,11894
2203,בני ברק,1215,7786,1326,8785,1215,7786,1138,9397
2204,בני ברק,8675,2282,11597,3026,8675,2282,6835,2274
2205,בני ברק,3378,550,4516,729,3378,550,3290,702
2206,בני ברק,4542,822,6072,1091,4542,822,4424,1050
2207,בני ברק,8533,1126,11406,1494,8533,1126,8206,1353
2208,בני ברק,151,5494,147,5922,151,5494,82,6582
2209,בני ברק,301,5540,293,5972,301,5540,368,5986
2210,בני ברק,470,7115,457,7670,470,7115,653,10721
2211,בני ברק,4855,1145,6490,1519,4855,1145,4691,1470
2212,בני ברק,7954,2085,10633,2765,7954,2085,7746,2655
2213,בני ברק,10732,1906,14347,2527,10732,1906,10414,2581
2214,בני ברק,9811,1990,13116,2640,9811,1990,9543,2592
2215,בני ברק,2148,1345,2871,1782,2148,1345,2082,1858
2216,בני ברק,9659,1640,12655,2175,9659,1640,9659,2168
2217,בני ברק,10160,2918,13582,3870,10160,2918,9549,3797
2218,בני ברק,10371,2112,8623,2109,10371,2132,7724,2486
2219,בני ברק,3786,774,5061,1027,3786,774,3485,1029
2220,בני ברק,12393,3063,16566,4061,12393,3063,12068,3910
2221,בני ברק,8936,1636,11765,2170,8936,1636,8936,2089
2222,בני ברק,2232,473,2984,628,2232,473,2174,605
2223,בני ברק,5422,2745,7248,3641,5422,2745,5280,3504
2224,בני ברק,4090,1109,5467,1471,4090,1109,4143,1514
2225,בני ברק,2982,570,3986,755,2982,570,2926,727
2226,בני ברק,6902,1846,9227,2449,6902,1846,6872,2358
2227,בני ברק,9341,2619,12487,3474,9341,2619,9208,3423
2228,בני ברק,6990,1219,9344,1617,6990,1219,6967,1557
2229,בני ברק,7943,3339,10544,4428,7943,3339,7943,4262
2230,בני ברק,5841,745,7809,990,5841,745,5729,982
2231,בני ברק,6987,835,9340,1108,6987,835,7023,1190
2232,בני ברק,3036,466,4058,618,3036,466,3030,674
2233,בני ברק,5461,557,7301,740,5461,557,5452,806
2234,בני ברק,7093,686,9481,910,7093,686,7079,915
2235,בני ברק,2672,7270,2709,5650,2672,7270,2312,8294
2236,בני ברק,287,3043,310,2687,287,3043,254,3615
2237,בני ברק,9767,1758,13057,2331,9767,1758,10768,2725
2238,בני ברק,7919,1018,10514,1348,7919,1018,8008,1492
2239,בני ברק,4042,1025,5403,1361,4042,1025,4037,1482
2240,בני ברק,6466,1218,8644,1616,6466,1218,6578,1689
2301,רמת גן-גבעתיים,984,1040,907,3073,984,889,1330,1566
2302,רמת גן-גבעתיים,9578,1139,8524,1100,9578,1146,8897,1381
2303,רמת גן-גבעתיים,8956,1925,7970,1860,8956,1938,7662,2080
2304,רמת גן-גבעתיים,3608,1002,3780,902,3608,1002,3633,866
2305,רמת גן-גבעתיים,5870,1232,5345,1177,5870,1237,5704,1250
2306,רמת גן-גבעתיים,3907,2655,3725,2486,3907,2664,3609,2781
2307,רמת גן-גבעתיים,12123,3010,11295,2847,12123,3023,12520,4122
2308,רמת גן-גבעתיים,9061,1560,7534,1558,9061,1575,9483,2074
2309,רמת גן-גבעתיים,11886,2644,10108,2611,11886,2667,15529,3890
2310,רמת גן-גבעתיים,4116,926,3580,904,4116,933,4362,1214
2311,רמת גן-גבעתיים,5657,660,4921,646,5657,666,6656,860
2312,רמת גן-גבעתיים,6852,3051,5961,2980,6852,3074,9428,4559
2313,רמת גן-גבעתיים,0,5324,0,5318,0,5376,0,7965
2314,רמת גן-גבעתיים,4746,1110,3946,1109,4746,1122,5697,1513
2315,רמת גן-גבעתיים,12273,2069,10205,2068,12273,2091,11739,2230
2316,רמת גן-גבעתיים,1373,4388,1141,4385,1373,4432,1268,3491
2317,רמת גן-גבעתיים,4318,873,3591,873,4318,882,5234,1156
2401,רמת גן-גבעתיים,0,5298,0,4881,0,5322,0,9216
2402,רמת גן-גבעתיים,6942,2134,5772,2131,6942,2155,9120,3192
2403,רמת גן-גבעתיים,6800,1392,5654,1390,6800,1406,8772,1941
2404,רמת גן-גבעתיים,3583,2740,4325,3464,3583,2740,3973,3450
2405,רמת גן-גבעתיים,7082,1059,5888,1058,7082,1070,9304,1584
2406,רמת גן-גבעתיים,4072,628,3386,628,4072,635,5349,941
2407,רמת גן-גבעתיים,5732,1066,4766,1064,5732,1076,6782,1527
2408,רמת גן-גבעתיים,2669,210,2219,210,2669,211,3507,314
2409,רמת גן-גבעתיים,4461,1512,3710,1510,4461,1527,5808,2235
2410,רמת גן-גבעתיים,0,21568,0,19698,0,18453,0,25068
2411,רמת גן-גבעתיים,0,22344,0,20498,0,19283,0,23058
2412,רמת גן-גבעתיים,2106,6491,1032,6036,2106,5747,4349,8808
2413,רמת גן-גבעתיים,1612,7359,1340,7351,1612,7431,1788,6696
2414,רמת גן-גבעתיים,5208,704,4330,703,5208,711,6299,992
2415,רמת גן-גבעתיים,5344,1107,4444,1106,5344,1118,6043,1558
2416,רמת גן-גבעתיים,7588,2469,6951,2384,7588,2481,9061,3169
2417,רמת גן-גבעתיים,3369,2423,3427,2266,3369,2423,4342,3117
2418,רמת גן-גבעתיים,6258,1620,5619,1575,6258,1629,8623,2354
2419,רמת גן-גבעתיים,2665,987,2711,922,2665,987,3618,1367
2420,רמת גן-גבעתיים,3222,747,2679,746,3222,754,4196,1109
2421,רמת גן-גבעתיים,4138,450,3440,449,4138,454,5087,693
2422,רמת גן-גבעתיים,3509,466,2918,466,3509,471,3395,785
2423,רמת גן-גבעתיים,5323,2952,4426,2949,5323,2980,6756,4421
2424,רמת גן-גבעתיים,4724,731,3928,730,4724,739,4599,935
2425,רמת גן-גבעתיים,4931,5737,4706,5468,4931,5753,5977,6388
2426,רמת גן-גבעתיים,3535,321,2982,354,3535,321,4117,343
2427,רמת גן-גבעתיים,1888,581,1633,785,1888,570,2377,547
2428,רמת גן-גבעתיים,8507,1315,7073,1314,8507,1329,8402,1953
2429,רמת גן-גבעתיים,5257,793,4371,793,5257,800,6311,1235
2430,רמת גן-גבעתיים,7442,655,6188,654,7442,661,7203,1103
2431,רמת גן-גבעתיים,7447,1126,6192,1126,7447,1137,7386,1757
2432,רמת גן-גבעתיים,4478,726,3723,725,4478,732,4196,1155
2433,רמת גן-גבעתיים,8113,882,6746,881,8113,890,10153,1312
2434,קרית אונו-אור יהודה,1936,5435,373,4852,1936,5435,3463,8176
2435,רמת גן-גבעתיים,4739,678,3940,677,4739,685,6226,1015
2436,רמת גן-גבעתיים,8484,517,7055,516,8484,522,11146,774
2437,רמת גן-גבעתיים,8862,1916,7369,1913,8862,1935,11643,2866
2438,רמת גן-גבעתיים,8350,694,6943,694,8350,701,10970,1039
2439,רמת גן-גבעתיים,6291,492,5231,491,6291,497,7826,762
2440,רמת גן-גבעתיים,6497,784,5402,783,6497,792,8514,1174
2441,רמת גן-גבעתיים,3182,596,2645,595,3182,602,3374,645
2442,רמת גן-גבעתיים,3182,596,2645,595,3182,602,3537,927
2443,רמת גן-גבעתיים,4701,581,3909,580,4701,586,5444,1087
2444,רמת גן-גבעתיים,7003,619,5823,619,7003,627,9113,1074
2445,קרית אונו-אור יהודה,4946,6078,4410,5059,4946,6078,7202,10149
2446,קרית אונו-אור יהודה,514,354,493,286,514,354,880,774
