taz1318,pop18,pop30,pop40,pop50,emp18,emp30,emp40,emp50
86140,3930,4092,4232,4726,3557,3923,5026,5726
86150,5036,5206,5353,5870,501,527,549,627
86160,3558,3727,3875,4392,360,386,408,486
86170,4810,5036,5232,5922,345,379,408,511
86180,3048,3271,3470,4160,392,425,455,558
86190,3534,3703,3851,4368,345,370,392,470
86200,3130,3243,3341,3685,548,565,580,632
87010,2741,2854,2952,3296,3385,3402,3416,3468
87020,2164,2276,2375,2719,6253,6570,7535,8137
87030,2790,3013,3212,3902,4780,5042,5799,6323
87040,5702,5873,6019,6536,705,731,753,830
87050,3018,3131,3229,3573,157,174,188,240
87060,2460,2517,2565,2737,282,291,298,324
87070,2005,2117,2216,2560,1144,1161,1176,1227
87080,3499,3612,3710,4054,1003,1020,1035,1086
87090,2852,3075,3274,3963,885,919,949,1052
87100,1711,1930,2133,2822,531,564,595,698
87110,1141,1304,1457,1975,354,379,402,479
87120,3546,3770,3968,4658,345,378,408,511
87130,4381,4551,4698,5215,454,480,502,580
87140,2879,2936,2984,3156,454,463,470,496
87150,2761,2818,2866,3038,235,244,251,277
87160,5824,6378,6879,8602,2758,2841,2916,3175
87171,7043,8194,9295,9689,666,839,1116,1175
87172,3019,6436,12094,16329,666,1349,3207,4478
87180,1003,1113,1214,1558,251,267,282,334
87190,2482,2962,3432,4982,298,370,440,673
87200,1832,4811,10757,13435,63,659,2562,3097
88010,1730,3846,7484,9210,251,674,1862,2121
88020,4964,5025,5077,5260,595,605,612,640
88030,3736,3797,3849,4032,345,354,362,389
88040,3925,3986,4038,4221,251,260,268,295
88050,1799,2243,2697,2854,125,192,260,284
88060,4380,5083,5753,6165,0,105,206,268
88070,5074,5135,5187,5370,721,730,738,765
88080,1884,1884,4368,5114,1301,1301,1798,1909
88090,0,0,0,0,0,2445,4482,6758
88100,0,0,0,0,5451,5909,6291,6718
88111,0,0,0,0,11186,11644,12026,12453
88112,0,0,0,0,14161,14620,15002,15429
88120,3588,3752,3894,4394,643,667,688,763
88130,1723,1752,1777,1865,141,145,149,162
88140,3093,3093,3093,3093,47,47,47,47
88150,4262,4670,5040,6310,188,249,305,495
88160,3249,3249,3249,3249,470,470,470,470
88170,4090,4187,4270,4564,313,328,340,385
88180,7324,9324,9324,9604,1201,1601,1601,1643
88190,3973,4070,4153,4447,376,391,403,447
88200,6941,7325,7661,7997,1917,1974,2025,2075
88210,0,0,0,0,121,125,139,147
90010,3486,4909,6530,8489,449,662,1058,1351
90020,0,164,360,720,154,178,208,262
90031,6045,9436,13676,21306,742,1420,2878,5167
90032,8732,12122,15932,23132,1176,1854,3192,5352
90033,8284,16036,16036,16517,1176,3347,3347,3419
90040,0,2557,5625,11250,0,751,2575,5223
90050,5830,7248,8689,9150,1335,1547,1907,1976
90060,0,0,0,0,0,0,0,0
90071,4065,6264,8981,11537,407,846,1783,2294
90072,5985,6146,6284,6598,599,623,643,691
90073,2961,5307,8629,11489,296,765,1883,2455
90074,0,0,0,0,2735,5463,10922,14108
90080,0,0,0,0,0,0,0,0
90091,6850,8086,9286,10401,2488,3034,4475,5303
90092,6850,8255,9643,10125,1688,1899,2247,2319
90101,6431,8640,11051,13031,1122,1564,2416,2713
90102,6431,7299,8111,8831,2619,2749,2871,2979
91000,0,0,0,0,0,0,0,0
91010,6271,8106,10039,13051,3705,4473,6815,8322
91020,2192,5696,12622,15322,1200,2181,4120,4660
91030,1410,1914,2469,3209,230,305,388,499
91040,1263,2010,2959,3847,929,1074,1322,1517
91050,3456,4593,5821,7568,1576,1746,2049,2311
91060,3640,5281,7201,9362,2953,3199,3950,4382
91070,3827,5441,7294,9483,2943,3185,3636,4074
91080,734,1037,1384,1800,157,202,254,316
91090,2079,2823,3642,4735,556,668,791,955
91100,1712,2470,3352,4358,1137,1251,1384,1534
91110,2053,3086,4335,5636,689,844,1145,1340
91120,0,0,0,0,1798,3617,5133,7354
92010,2903,6799,13817,15886,3286,4377,6342,6756
92020,2732,3779,4952,5617,1837,1994,2281,2380
92030,3343,4302,5308,5898,595,739,890,978
92041,6059,6222,6362,6680,1781,1806,1827,1874
