"scenario","year","ravtaz","pop","hh","hhsize","empd","empi","empe","emp","school","yeshiva","college","ind","htl","bsn","pub","edu","agr"
"base",2020,40,16380.9791,6080.4634,29.4745,0.0000,0.0000,0.0000,6050.8330,4923.1109,368.0000,1213.6750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,41,20670.8231,5182.4741,28.1444,0.0000,0.0000,0.0000,5816.4780,10534.7593,5711.5660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,42,9152.4327,2425.7594,7.51475,0.0000,0.0000,0.0000,6966.5173,4261.5725,1083.0000,5592.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,43,5856.7909,2267.7026,5.13179,0.0000,0.0000,0.0000,919.6795,1146.6800,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7946.9479,0.0000,0.0000,1295.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,45,14511.7967,4549.4430,23.2638,0.0000,0.0000,0.0000,1540.1726,1953.6249,375.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,46,26753.2317,9002.9588,23.2709,0.0000,0.0000,0.0000,3746.0083,3800.1113,498.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,47,17599.8930,5352.5743,22.5797,0.0000,0.0000,0.0000,1920.8787,3380.4335,124.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,48,4252.1000,1338.0000,12.7000,0.0000,0.0000,0.0000,8152.9316,170.4102,0.0000,3774.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,49,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,145.7898,1238.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,5,2654.2920,1172.1142,18.5347,0.0000,0.0000,0.0000,7471.9854,41.0000,266.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,50,17274.9095,6974.6806,17.6903,0.0000,0.0000,0.0000,3654.0375,3771.6492,179.0000,3401.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,51,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14633.3060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,52,27029.6243,5447.1531,42.6238,0.0000,0.0000,0.0000,4547.9642,9710.0697,3857.4646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,53,42858.2504,8068.2867,72.0248,0.0000,0.0000,0.0000,12473.0559,20451.5169,12797.0351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,54,20910.5415,5035.2146,25.7617,0.0000,0.0000,0.0000,3374.1064,8308.1486,3257.3886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,55,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16898.8677,1697.0000,1039.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,56,16038.9393,3523.0550,17.8543,0.0000,0.0000,0.0000,2610.7692,6073.1516,3890.8026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,57,2290.4423,680.8750,6.68198,0.0000,0.0000,0.0000,466.5233,198.8138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,58,19370.7889,4021.0084,38.3896,0.0000,0.0000,0.0000,2634.9131,4745.4287,774.4140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,59,30414.0049,5735.2488,37.6328,0.0000,0.0000,0.0000,3675.5060,12701.8354,4616.5701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,6,10356.2318,5588.7684,20.6876,0.0000,0.0000,0.0000,8122.1945,3168.5687,177.0000,135.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,60,22156.1261,3230.7303,26.9859,0.0000,0.0000,0.0000,2331.2227,6541.0000,1979.9394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,61,17492.5707,4061.4921,25.7760,0.0000,0.0000,0.0000,2620.5612,5525.6092,190.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,62,6419.7398,957.3742,13.4010,0.0000,0.0000,0.0000,449.2022,1889.9981,1013.7399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,63,21004.4126,6394.9761,29.0573,0.0000,0.0000,0.0000,1359.6692,3146.1106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,64,24589.5817,6886.4843,36.1835,0.0000,0.0000,0.0000,2478.6315,3712.7358,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,65,52036.4879,9360.3824,17.6261,0.0000,0.0000,0.0000,1990.0484,4651.6203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,66,34132.5822,8311.8256,41.1545,0.0000,0.0000,0.0000,2957.0887,14874.9363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,67,29389.4171,7347.3543,36.0000,0.0000,0.0000,0.0000,2078.7196,13444.0340,0.0000,3150.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,68,1093.3789,290.0000,7.54054,0.0000,0.0000,0.0000,8063.6156,644.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,69,51692.2082,10256.6636,10.0818,0.0000,0.0000,0.0000,1879.7869,10544.9213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,7,1550.4008,667.6154,2.3223,0.0000,0.0000,0.0000,15462.2810,2283.8934,24.0000,6255.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
