taz,area,type,cultural,education,office,shopping,health,religiosit,urban,transporta,empl_indu,empl_comm,empl_serv,empl_tot,students,population,households,parkcost,parkwalk,popdens,ga21,ga22,ga23,ga24,ga25,ga26,ga11,ga12,ga13,ga14,ga15,ga16,workers,workperc,avgHH,soceco,Mlic2,Mlic3,Mlic4,Mlic5,Mlic6,Flic2,Flic3,Flic4,Flic5,Flic6,emp2pop,parkcap,parkAM,parkPM,parkOP,INTLSUME,INTLSUMO,INTLSUMS,INTLSUMW,LSIZESEC,LSIZEINTS,LSUMSIZE0,LSUMSIZES,Hh0car,HH1car,HH2car,HH3car
1320,0.095,8,0,0,2,2,0,0,1,0,239,625,886,1750,0,2124,1495,3,3,22.29,109,16,33,445,324,169,102,15,31,418,304,158,1505,0.70857,1.42,13,0.4,0.9,0.91,0.96,1,0.32,0.81,0.77,0.87,0.9,0.824,710,0.00401,0.00636,0.00625,1.520923,2.273382,2.520059,1.522804,3.131598,4.600193,2.908695,2.658587,904,530,53,8
1321,0.067,3,0,0,0,2,0,0,1,0,104,295,282,681,0,1430,1010,3,3,21.4767,57,10,35,258,220,155,54,9,33,244,208,147,899,0.62867,1.42,14,0.41,0.91,0.92,0.98,1.02,0.34,0.85,0.81,0.91,0.95,0.476,359,0.00759,0.01224,0.01202,1.129461,1.751577,1.890346,0.809571,2.512119,3.877581,2.41747,2.081846,560,399,45,6
1322,0.089,8,1,0,0,2,0,0,1,0,343,433,1328,2104,0,1803,1271,3,3,20.3315,88,9,35,348,258,159,89,9,35,352,261,161,1183,0.65613,1.42,14,0.41,0.91,0.92,0.98,1.02,0.34,0.85,0.81,0.91,0.95,1.167,783,0.00337,0.0055,0.0054,1.36057,2.222926,2.54429,1.599091,3.150886,4.679887,2.835102,2.649405,768,451,45,7
1323,0.08,3,0,0,0,2,0,0,1,0,34,122,580,736,0,2212,1464,3,3,27.5045,104,16,48,390,350,215,101,15,46,379,340,209,1520,0.68716,1.51,13,0.4,0.9,0.91,0.96,1,0.32,0.81,0.77,0.87,0.9,0.333,411,0.00836,0.01242,0.01223,1.497089,2.098898,2.208678,1.066007,2.78995,4.129297,2.750946,2.37885,856,542,57,8
1324,0.075,3,0,0,0,2,0,0,1,0,144,185,367,696,0,1904,1342,3,3,25.4784,90,19,30,257,295,235,95,20,31,271,313,248,17,0.00893,1.42,14,0.41,0.91,0.92,0.98,1.02,0.34,0.85,0.81,0.91,0.95,0.366,385,0.00829,0.01263,0.01242,1.410324,1.990686,2.087082,0.96328,2.711947,4.031734,2.667469,2.298917,811,476,48,7
1325,0.077,3,0,3,0,2,0,0,1,0,250,116,469,835,0,2068,1369,3,3,26.827,106,25,34,344,331,179,109,26,36,354,341,184,1385,0.66973,1.51,14,0.41,0.91,0.92,0.98,1.02,0.34,0.85,0.81,0.91,0.95,0.404,428,0.00785,0.01176,0.01157,1.430447,2.061911,2.200519,1.087113,2.781775,4.152948,2.70711,2.358074,748,549,63,9
1326,0.116,10,1,0,0,2,0,0,1,0,200,727,537,1464,0,1138,756,3,3,9.8521,50,13,23,143,169,138,57,15,26,161,190,155,718,0.63093,1.51,13,0.4,0.9,0.91,0.96,1,0.32,0.81,0.77,0.87,0.9,1.286,682,0.00204,0.00448,0.00437,0.867758,1.79057,2.148899,1.22617,2.727245,4.28906,2.369282,2.215584,459,267,26,4
1327,0.047,10,1,0,0,2,0,0,1,0,84,308,228,620,0,462,309,3,3,9.7385,21,5,9,58,68,56,23,6,10,65,78,63,294,0.63636,1.5,13,0.4,0.9,0.91,0.96,1,0.32,0.81,0.77,0.87,0.9,1.342,291,0.00474,0.01049,0.01021,-0.026707,0.907859,1.273178,0.356202,1.85408,3.420143,1.486118,1.339507,187,110,11,2
1328,0.086,5,0,0,1,1,0,0,1,0,436,1575,1438,3449,0,1929,1278,3,3,22.511,59,14,35,348,283,235,58,14,34,341,277,231,887,0.45982,1.51,14,0.41,0.91,0.92,0.98,1.02,0.34,0.85,0.81,0.91,0.95,1.788,1124,0.00262,0.00411,0.00404,1.365175,2.448329,2.880813,1.988758,3.461319,5.074157,3.007423,2.920456,756,467,48,7
1329,0.115,3,0,3,0,2,0,0,1,0,199,185,583,967,0,2527,1674,3,3,21.9936,148,25,56,440,373,201,153,26,58,455,385,207,1693,0.66996,1.51,14,0.41,0.91,0.92,0.98,1.02,0.34,0.85,0.81,0.91,0.95,0.383,558,0.00497,0.00797,0.00782,1.635611,2.256005,2.385729,1.268179,2.966633,4.327616,2.902472,2.54716,957,638,69,10
