TAZ,Agg_taz_nu,super_taz,שם איזור 2020,similar,sector,in_jerusalem_metropolin,jerusalem district,in jerusalem,city,hh2015,newhh1520,newhh2025,newhh2530,newhh3035,newhh3540,newhh1540,hh20,hh25,hh30,hh35,hh40,pop15,pop20,pop25,pop30,pop35,pop40,hhsize15,hhsize20,hhsize25,hhsize30,hhsize35,hhsize40,emp2hh,empd15,empd20,empd25,empd30,empd35,empd40,empi15,empi20,empi25,empi30,empi35,empi40,empe15,empe20,empe25,empe30,empe35,empe40,emp15,emp20,emp25,emp30,emp35,emp40,school16,school20,school25,school30,school35,school40,yeshiva15,yeshiva20,yeshiva25,yeshiva30,yeshiva35,yeshiva40,college15,college20,college25,college30,college35,college40,ind30,htl30,bsn30,pub30,edu30,agr30,ind40,htl40,bsn40,pub40,edu40,agr40,InJerDistrict
8622,862,86,מודיעין השבטים (בוכמן),,Jewish,yes,other,no,מודיעין,1495,152,0,0,0,0,152,1647,1647,1647,1647,1647,6604,7066,7129,7141,7202,7364,4.417391304,4.290224651,4.328476017,4.335761991,4.372799029,4.471159684,,,,,,,,,,,,,,,,,,,,235.25,282.5965058,287.1877529,281.7042667,284.7562274,283.7755369,1544,1621.176611,1698.353221,1775.529832,1852.706443,1929.883054,0,0,0,0,0,0,,,,,,,0,38.0903108,38.0903108,38.0903108,167.4333343,0,0,38.37037516,38.37037516,38.37037516,168.6644114,0,0
8623,862,86,מודיעין השבטים מערב,8611,Jewish,yes,other,no,מודיעין,0,0,1000,2000,1642,0,4642,0,1000,3000,4642,4642,0,0,3000,9300,15156,15913.8,,,3,3.1,3.264971995,3.428220595,,,,,,,,,,,,,,,,,,,,0,0,158.299293,471.6419341,764.9950032,773.0594203,,0,1024.489395,2889.629012,4654.725048,4434.681305,0,0,0,0,0,0,,,,,,,0,62.88559122,94.32838683,62.88559122,251.5423649,0,0,103.0745894,154.6118841,103.0745894,412.2983575,0,0
8624,862,86,מודיעין הציפורים מערב,8611,Jewish,yes,other,no,מודיעין,0,,1845,0,0,0,1845,0,1845,1845,1845,1845,0,0,5811.75,6088.5,6457.5,6407.454375,,,3.15,3.3,3.5,3.472875,5,0,0,369,369,369,369,,,,,,,0,0,127.8585,133.947,142.065,140.9639963,0,0,496.8585,502.947,511.065,509.9639963,,0,1917.8775,2009.205,2130.975,2114.459944,0,0,0,0,0,0,,,,,,,0,110.9841,110.9841,147.9788,133,0,0,110.7,110.7,147.6,141,0,0
8625,862,86,מודיעין הציפורים (קייזר דרום),8611,Jewish,yes,other,no,מודיעין,0,,500,490,0,0,990,0,500,990,990,990,0,0,1725,3757.05,3644.3385,3644.3385,,3,3.45,3.795,3.68115,3.68115,5,0,0,100,198,198,198,,,,,,,0,0,37.95,82.6551,80.175447,80.175447,0,149.2904254,174.1674965,183.4113585,167.6201501,156.3924675,,,569.25,1239.8265,1202.631705,1202.631705,0,0,0,0,0,0,,,,,,,0,30.42340756,30.42340756,40.56454341,82,0,0,22.8,22.8,30.4,80,0,0
8626,862,86,מודיעין אבני חן מזרח,,Jewish,yes,other,no,מודיעין,3061.445783,0,0,0,0,0,0,3061.445783,3061.445783,3061.445783,3061.445783,3061.445783,10245,10245,11269.5,10931.415,10603.47255,10285.36837,3.346458087,3.346458087,3.681103896,3.570670779,3.463550656,3.359644136,,,,,,,,,,,,,,,,,,,,266.52,266.52,297.255,287.11245,277.2741765,267.7310512,2538,2538,2538,2538,2538,2538,0,0,0,0,0,0,,,,,,,0,43.0668675,57.42249,28.711245,157.9118475,0,0,40.15965768,53.54621024,26.77310512,147.2520782,0,0
8631,863,86,מכבים,,Jewish,yes,other,no,מודיעין,851.4285714,0,0,0,0,0,0,851.4285714,851.4285714,851.4285714,851.4285714,851.4285714,2642.754518,2606.569314,2549.560292,2507.001631,2417.348345,2311.632196,3.103906313,3.061406912,2.994450007,2.944465003,2.839167519,2.715004257,,,,,,,,,,,,,,,,,,,,309.71,313.320807,316.6539495,314.1598101,309.3811294,303.8354509,394,464.4454467,540.0966437,521.8359503,490.4997187,454.8868087,0,0,0,0,0,0,,,,,,,0,108.5334724,77.52390882,46.51434529,81.58808362,0,0,104.9666936,74.97620968,44.98572581,78.90682188,0,0
8632,863,86,רעות דרום,,Jewish,yes,other,no,מודיעין,883.9090909,0,0,0,0,0,0,883.9090909,883.9090909,883.9090909,883.9090909,883.9090909,3308.860075,3131.680425,2991.069187,2907.616836,2796.246566,2658.08228,3.743439353,3.54298927,3.383910425,3.289497603,3.163500178,3.007189662,,,,,,,,,,,,,,,,,,,,680.9,675.5846105,671.3662734,668.8627028,665.5215947,661.3766661,2797,2797,2797,2797,2797,2797,0,0,0,0,0,0,,,,,,,0,167.2156757,133.7725406,133.7725406,234.101946,0,0,165.3441665,132.2753332,132.2753332,231.4818331,0,0
8633,863,86,רעות צפון,,Jewish,yes,other,no,מודיעין,788.502303,0,0,0,0,0,0,788.502303,788.502303,788.502303,788.502303,788.502303,3133.406734,2990.051707,2871.434896,2785.073366,2678.116238,2550.722089,3.973871379,3.792064647,3.641631591,3.532105557,3.396459627,3.234894913,,,,,,,,,,,,,,,,,,,,315.28,310.9793492,307.4208449,304.829999,301.6212851,297.7994606,550,550,550,550,550,550,0,0,0,0,0,0,,,,,,,0,60.96599979,60.96599979,60.96599979,121.9319996,0,0,59.55989213,59.55989213,59.55989213,119.1197843,0,0
8641,864,86,מודיעין - מוריה,,Jewish,yes,other,no,מודיעין,2114.285714,0,350,0,0,0,350,2114.285714,2464.285714,2464.285714,2464.285714,2464.285714,8500,8668.571429,10350,10350,10103.57143,10103.57143,4,4.1,4.2,4.2,4.1,4.1,,,,,,,,,,,,,,,,,,,,420,420,520,520,560,560,1543,1555.55116,1939.368308,1803.300243,1866.378568,1691.250441,0,0,0,0,0,0,,,,,,,0,130,112,102,176,0,0,140,122,112,186,0,0
8642,864,86,מודיעין - מוריה דרום,,Jewish,yes,other,no,מודיעין,,0,0,0,2500,2500,5000,0,0,0,2500,5000,0,0,0,0,7500,17750,,,,,3,3.55,,,,,,,,,,,,,,,,0,0,165,390.5,0,0,0,0,375.3012186,890.1301581,,0,0,0,2475,5857.5,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,150,150,200,390,0,0
